Text,Location
Pelourinho,"Bahai, Brazil"
Mucuge Street,"Bahai, Brazil"
Sao Francisco Church and Convent,"Bahai, Brazil"
Ilha dos Frades,"Bahai, Brazil"
Praia do Espelho,"Bahai, Brazil"
Forte Beach,"Bahai, Brazil"
Projeto Tamar,"Bahai, Brazil"
Quarta Praia,"Bahai, Brazil"
Basílica Do Senhor Do Bonfim,"Bahai, Brazil"
Quadrado,"Bahai, Brazil"
Pitinga Beach,"Bahai, Brazil"
Eco Parque Arraial d'Ajuda,"Bahai, Brazil"
Passarela do Descobrimento,"Bahai, Brazil"
Praia Farol da Barra,"Bahai, Brazil"
Coroa Vermelha Beach,"Bahai, Brazil"
Chapada Diamantina National Park,"Bahai, Brazil"
Cachoeira do Buracao,"Bahai, Brazil"
Taipus de Fora Beach,"Bahai, Brazil"
Itacarezinho Beach,"Bahai, Brazil"
Segunda Praia,"Bahai, Brazil"
Centro Historico,"Bahai, Brazil"
Praia do Porto da Barra,"Bahai, Brazil"
Praia de Taipe,"Bahai, Brazil"
Recife de Fora,"Bahai, Brazil"
Jeribucacu Beach,"Bahai, Brazil"
Taperapua Beach,"Bahai, Brazil"
Igreja Matriz Nossa Senhora D'Ajuda,"Bahai, Brazil"
Casa do Rio Vermelho,"Bahai, Brazil"
Gamboa Beach,"Bahai, Brazil"
Guarajuba Beach,"Bahai, Brazil"
Muta Beach,"Bahai, Brazil"
Prainha Beach,"Bahai, Brazil"
MAM Museu de Arte Moderna,"Bahai, Brazil"
Imbassai Beach,"Bahai, Brazil"
Elevator Lacerda,"Bahai, Brazil"
Cachoeira do Mosquito,"Bahai, Brazil"
Flamengo Beach,"Bahai, Brazil"
Morro do Pai Inácio,"Bahai, Brazil"
Cachoeira da Fumaca,"Bahai, Brazil"
Salvador Shopping,"Bahai, Brazil"
Caraiva Beach,"Bahai, Brazil"
Ponta do Muta Beach,"Bahai, Brazil"
Santo Antonio da Barra Fort and Nautic Museum of Bahia,"Bahai, Brazil"
Reserva Pataxo da Jaqueira,"Bahai, Brazil"
Church of Our Lady of the Rosary of the Black People,"Bahai, Brazil"
Boipeba,"Bahai, Brazil"
Havaizinho Beach,"Bahai, Brazil"
Largo da Ajuda,"Bahai, Brazil"
Poco do Diabo Waterfall,"Bahai, Brazil"
Tijuipe Waterfall,"Bahai, Brazil"
Praia dos Coqueiros,"Bahai, Brazil"
Memorial da Epopeia do Descobrimento,"Bahai, Brazil"
Ponta de Humaita,"Bahai, Brazil"
Mercado Modelo,"Bahai, Brazil"
Concha Beach,"Bahai, Brazil"
Costa do Sauipe Beach,"Bahai, Brazil"
Itaipava Arena Fonte Nova,"Bahai, Brazil"
Fundação Casa de Jorge Amado,"Bahai, Brazil"
Mangue Seco Beach,"Bahai, Brazil"
Garapua Beach,"Bahai, Brazil"
Barra Do Cahy Beach,"Bahai, Brazil"
Ponta de Castelhanos,"Bahai, Brazil"
Centro Cultural Bataclan,"Bahai, Brazil"
Praia da Tiririca,"Bahai, Brazil"
Praia de Santo Antonio,"Bahai, Brazil"
Igreja Sao Francisco De Assis,"Bahai, Brazil"
Praia de Santo Andre,"Bahai, Brazil"
Cachoeira da Fumacinha,"Bahai, Brazil"
Santo Andre Beach,"Bahai, Brazil"
Cueira Beach,"Bahai, Brazil"
Cathedral Basilica of Salvador,"Bahai, Brazil"
Parque Nacional Marinho dos Abrolhos,"Bahai, Brazil"
Apaga-Fogo Beach,"Bahai, Brazil"
Praca Caminho do Mar,"Bahai, Brazil"
Sister Dulce memorial,"Bahai, Brazil"
Mundai Beach,"Bahai, Brazil"
Algodoes Beach,"Bahai, Brazil"
Primeira Praia,"Bahai, Brazil"
Poco Azul,"Bahai, Brazil"
Praia de Itapua,"Bahai, Brazil"
Misericordia Museum,"Bahai, Brazil"
Palacete Das Artes Rodin Bahia,"Bahai, Brazil"
Teatro Castro Alves,"Bahai, Brazil"
Igreja da Ordem Terceira de São Francisco,"Bahai, Brazil"
Igreja Da Nossa Senhora Da Luz,"Bahai, Brazil"
Itapua Beach,"Bahai, Brazil"
Sao Jose Beach,"Bahai, Brazil"
