Text,Location
Lan Kwai Fong,"Hong Kong, China"
Nathan Road,"Hong Kong, China"
Hong Kong Tourism Board,"Hong Kong, China"
Causeway Bay,"Hong Kong, China"
Repulse Bay Beach,"Hong Kong, China"
Stanley Market,"Hong Kong, China"
Avenue of the Stars,"Hong Kong, China"
Hong Kong Heritage Museum,"Hong Kong, China"
Tsz Shan Monastery,"Hong Kong, China"
Ladies Market,"Hong Kong, China"
Stanley,"Hong Kong, China"
Harbour City,"Hong Kong, China"
Soho,"Hong Kong, China"
Sai Kung,"Hong Kong, China"
Wan Chai,"Hong Kong, China"
Tsim Sha Tsui East,"Hong Kong, China"
Shek O Beach,"Hong Kong, China"
Sha Tin Racecourse,"Hong Kong, China"
Man Mo Temple,"Hong Kong, China"
Hong Kong Science Museum,"Hong Kong, China"
Hong Kong Maritime Museum,"Hong Kong, China"
Sham Shui Po,"Hong Kong, China"
L&K Custom Tailor,"Hong Kong, China"
Hong Kong Zoological and Botanical Gardens,"Hong Kong, China"
Kowloon Walled City Park,"Hong Kong, China"
Temple Street Night Market,"Hong Kong, China"
Hong Kong Museum of Coastal Defence,"Hong Kong, China"
Victoria Park,"Hong Kong, China"
Kadoorie Farm and Botanical Gardens,"Hong Kong, China"
Times Square,"Hong Kong, China"
Hong Kong Cultural Centre,"Hong Kong, China"
Hong Kong Convention and Exhibition Centre,"Hong Kong, China"
Hong Kong Sneakers Street,"Hong Kong, China"
Hong Kong Stadium,"Hong Kong, China"
Bank of China Tower,"Hong Kong, China"
Hollywood Road,"Hong Kong, China"
Jade Market,"Hong Kong, China"
Mai Po Nature Reserve,"Hong Kong, China"
Fa Yuen Street Market,"Hong Kong, China"
Bruce Lee Statue,"Hong Kong, China"
Che Kung Temple,"Hong Kong, China"
Tung Chung,"Hong Kong, China"
Sogo Mall (Causeway Bay),"Hong Kong, China"
Edward Youde Aviary,"Hong Kong, China"
Hong Kong Sevens,"Hong Kong, China"
K11 MUSEA,"Hong Kong, China"
Lion Rock,"Hong Kong, China"
