Text,Location
University of Melbourne,"Melbourne, Austrailia"
St. Peter's Church,"Melbourne, Austrailia"
Grainger Museum,"Melbourne, Austrailia"
Melbourne New Year's Eve,"Melbourne, Austrailia"
Virtual Room Melbourne,"Melbourne, Austrailia"
Sandridge Railway Bridge,"Melbourne, Austrailia"
St. Augustine Church,"Melbourne, Austrailia"
Melbourne & Olympic Parks,"Melbourne, Austrailia"
Melbourne Park,"Melbourne, Austrailia"
Melbourne's GPO - Shopping Centre,"Melbourne, Austrailia"
Wattle Park,"Melbourne, Austrailia"
The Astor Theatre,"Melbourne, Austrailia"
Princes Bridge,"Melbourne, Austrailia"
State Theatre,"Melbourne, Austrailia"
Collins Place,"Melbourne, Austrailia"
Birrarung Marr,"Melbourne, Austrailia"
Fire Services Museum of Victoria,"Melbourne, Austrailia"
Booran Reserve,"Melbourne, Austrailia"
Dialogue in the Dark,"Melbourne, Austrailia"
Moomba Festival,"Melbourne, Austrailia"
SkyHigh Mount Dandenong,"Melbourne, Austrailia"
Australian Treasure Walks - Melbourne Lanes and Arcades,"Melbourne, Austrailia"
Alexandra Gardens,"Melbourne, Austrailia"
Melbourne International Comedy Festival,"Melbourne, Austrailia"
Melbourne General Cemetery,"Melbourne, Austrailia"
Australian Centre for Contemporary Art,"Melbourne, Austrailia"
Melbourne Recital Centre,"Melbourne, Austrailia"
Curtin House,"Melbourne, Austrailia"
Escape Room Melbourne (ERM),"Melbourne, Austrailia"
Moonee Valley Racing Club,"Melbourne, Austrailia"
Sightseeing Tours Australia,"Melbourne, Austrailia"
LOST In Melbourne,"Melbourne, Austrailia"
Blue Tongue Bikes,"Melbourne, Austrailia"
Welcome to Travel,"Melbourne, Austrailia"
Illusionaire Magic Show,"Melbourne, Austrailia"
Kayak Melbourne,"Melbourne, Austrailia"
Readings Book Shop,"Melbourne, Austrailia"
ON A BOAT,"Melbourne, Austrailia"
Sheraton Melbourne Spa,"Melbourne, Austrailia"
Escape Discovery Adventures,"Melbourne, Austrailia"
Australian Wine Tour Company,"Melbourne, Austrailia"
