Text,Location
Colosseum,"Rome, Italy"
Pantheon,"Rome, Italy"
Trevi Fountain,"Rome, Italy"
Piazza Navona,"Rome, Italy"
Basilica di Santa Maria Maggiore,"Rome, Italy"
Galleria Borghese,"Rome, Italy"
Trastevere,"Rome, Italy"
Palatine Hill,"Rome, Italy"
Roman Forum,"Rome, Italy"
Museo Nazionale di Castel Sant'Angelo,"Rome, Italy"
Monumento a Vittorio Emanuele II,"Rome, Italy"
Arcibasilica di San Giovanni in Laterano,"Rome, Italy"
Chiesa di Sant'Ignazio di Loyola,"Rome, Italy"
Centro Storico,"Rome, Italy"
Palazzo Colonna - Galleria Colonna,"Rome, Italy"
Spanish Steps,"Rome, Italy"
Church of St. Louis of the French,"Rome, Italy"
Fontana dei Quattro Fiumi,"Rome, Italy"
San Pietro in Vincoli,"Rome, Italy"
Basilica of San Clemente,"Rome, Italy"
Santa Maria in Trastevere,"Rome, Italy"
Museo Nazionale Romano - Palazzo Massimo alle Terme,"Rome, Italy"
Palazzo Doria Pamphilj,"Rome, Italy"
Piazza Venezia,"Rome, Italy"
Basilica di Santa Maria degli Angeli e dei Martiri,"Rome, Italy"
Welcome To Rome,"Rome, Italy"
Santa Maria della Vittoria,"Rome, Italy"
Catacombs of Saint Callixtus,"Rome, Italy"
Santa Maria Sopra Minerva,"Rome, Italy"
Abbazia di San Paolo Fuori Le Mura,"Rome, Italy"
Domus Aurea,"Rome, Italy"
Basilica Papale San Paolo Fuori le Mura,"Rome, Italy"
Colle del Gianicolo,"Rome, Italy"
Piazza del Campidoglio,"Rome, Italy"
Le Domus Romane di Palazzo Valentini,"Rome, Italy"
Chiesa del Santissimo Nome di Gesù all’Argentina,"Rome, Italy"
Centrale Montemartini,"Rome, Italy"
St. Angelo Bridge,"Rome, Italy"
Basilica di Santa Prassede,"Rome, Italy"
Piazza di Trevi,"Rome, Italy"
Arch of Constantine,"Rome, Italy"
Chiesa di Santa Maria del Popolo,"Rome, Italy"
Piazza di Spagna,"Rome, Italy"
Scala Santa and Chapel of San Lorenzo,"Rome, Italy"
Stadio di Domiziano - Navona Square Underground,"Rome, Italy"
Villa Farnesina,"Rome, Italy"
Quartiere Coppedè,"Rome, Italy"
Complesso del Vittoriano,"Rome, Italy"
Colle Pincio,"Rome, Italy"
Museo Nazionale Etrusco di Villa Giulia,"Rome, Italy"
Quirinale Palace (Palazzo del Quirinale),"Rome, Italy"
Forum of Augustus,"Rome, Italy"
Colle Aventino,"Rome, Italy"
Basilica di Santa Maria in Aracoeli,"Rome, Italy"
Colonna Traiana,"Rome, Italy"
Parco Regionale dell'Appia Antica,"Rome, Italy"
Museo Nazionale Romano - Palazzo Altemps,"Rome, Italy"
Basilica di Sant'Andrea della Valle,"Rome, Italy"
Torre Argentina Cat Sanctuary,"Rome, Italy"
Villa Doria Pamphili,"Rome, Italy"
The Old Jewish Quarter,"Rome, Italy"
I Virtuosi dell'opera di Roma,"Rome, Italy"
Cimitero Acattolico di Roma,"Rome, Italy"
Mercati di Traiano - Museo dei Fori Imperiali,"Rome, Italy"
Santa Cecilia in Trastevere,"Rome, Italy"
Basilica di Santa Croce in Gerusalemme,"Rome, Italy"
Chiesa di Sant'Agnese in Agone,"Rome, Italy"
Mercato Trionfale,"Rome, Italy"
Roseto Comunale,"Rome, Italy"
Jewish Museum of Rome,"Rome, Italy"
Parco degli Acquedotti - Parco Archeologico dell'Appia Antica,"Rome, Italy"
Via Margutta,"Rome, Italy"
Colle Capitolino,"Rome, Italy"
Via Sacra,"Rome, Italy"
Piazza della Rotonda,"Rome, Italy"
Fontana dell'Acqua Paola,"Rome, Italy"
Catacombe di Priscilla,"Rome, Italy"
Parco Savello,"Rome, Italy"
Priorato dei Cavalieri di Malta,"Rome, Italy"
Museo Leonardo Da Vinci Experience,"Rome, Italy"
Basilica di Santa Sabina,"Rome, Italy"
Appian Way (Via Appia Antica),"Rome, Italy"
San Carlo alle Quattro Fontane,"Rome, Italy"
Basilica S. Agostino,"Rome, Italy"
Mausoleo delle Fosse Ardeatine,"Rome, Italy"
Foro di Cesare,"Rome, Italy"
Mausoleo di Santa Costanza,"Rome, Italy"
Abbazia delle Tre Fontane,"Rome, Italy"
Rione Monti,"Rome, Italy"
Piazzale Garibaldi,"Rome, Italy"
Terrazza del Pincio,"Rome, Italy"
Arco di Settimio Severo,"Rome, Italy"
Roma dal Cielo   Terrazza delle Quadrighe,"Rome, Italy"
Nasoni - Fontanelle Pubbliche,"Rome, Italy"
Basilica dei SS. Ambrogio e Carlo al Corso,"Rome, Italy"
Via dei Fori Imperiali,"Rome, Italy"
Giardino degli Aranci,"Rome, Italy"
S.Maria in Vallicella,"Rome, Italy"
Catacombe SS. Marcellino e Pietro - Mausoleo di S. Elena,"Rome, Italy"
Villa dei Quintili e Santa Maria Nova - Parco Archeologico dell'Appia Antica,"Rome, Italy"
Museum of Light,"Rome, Italy"
Tempio di Roma & Centro Visitatori,"Rome, Italy"
Bunker di Mussolini a Villa Torlonia,"Rome, Italy"
RomeOperaConcerts,"Rome, Italy"
Serra,"Rome, Italy"
Cooking Classes in Rome,"Rome, Italy"
Spa at Trilussa Palace Hotel,"Rome, Italy"
The Basement - Pub. Cocktail Bar. Events.,"Rome, Italy"
Fabiolous Cooking Day in Rome,"Rome, Italy"
Domenico's Airport Transfers,"Rome, Italy"
Adventure Rooms Roma,"Rome, Italy"
Templum Salutis,"Rome, Italy"
InRome Cooking Classes,"Rome, Italy"
Magic Escape Room,"Rome, Italy"
Gladiator School of Rome,"Rome, Italy"
LA CASA DEL MALE - Escape Room Roma,"Rome, Italy"
Rimessa Roscioli,"Rome, Italy"
Cab Roma,"Rome, Italy"
Lucifer Escape Room,"Rome, Italy"
Smash Arena Roma,"Rome, Italy"
Escape Room Questhouse,"Rome, Italy"
Doma Luxury Spa,"Rome, Italy"
Alfieri Leather Store,"Rome, Italy"
Cogito Ergo Room Escape Room,"Rome, Italy"
Paciotti Salumeria,"Rome, Italy"
La Botticella,"Rome, Italy"
Eatalian Cooks,"Rome, Italy"
Chef in a Day,"Rome, Italy"
Rome Tours & Transfers - Welcome Pickups,"Rome, Italy"
Rome's Ultimate Party,"Rome, Italy"
Romio,"Rome, Italy"
Alta Care Beauty Spa,"Rome, Italy"
Game Over Escape Rooms - Roma Trastevere,"Rome, Italy"
City Wonders,"Rome, Italy"
LivTours,"Rome, Italy"
Holy Pizza,"Rome, Italy"
Del Giudice Roma,"Rome, Italy"
Escape Room Alberone,"Rome, Italy"
Murano Max,"Rome, Italy"
Samarcanda 065551 Taxi,"Rome, Italy"
SECRET ROOMS Escape Room Roma,"Rome, Italy"
Epickup,"Rome, Italy"
Riccardo Cooking Class - Pasta Class and Sauces,"Rome, Italy"
The Great Opera Arias Concert,"Rome, Italy"
Escape Room Roma,"Rome, Italy"
Artemís Spa,"Rome, Italy"
Rome Habi Cabs,"Rome, Italy"
Antica Caciara Trasteverina,"Rome, Italy"
Fugacemente - Escape Room Cinecittà,"Rome, Italy"
Rome Airport Transport,"Rome, Italy"
Loving Rome,"Rome, Italy"
Rome 500 EXP - Day Tour,"Rome, Italy"
Bellezze di Roma,"Rome, Italy"
Free Bike Tours Rome,"Rome, Italy"
Real Rome Tours,"Rome, Italy"
Rome Private Excursions,"Rome, Italy"
Tours of the Vatican with Francesco & his Team,"Rome, Italy"
Bici & Baci Tours,"Rome, Italy"
Katie Parla's Food & Culture Tours,"Rome, Italy"
Rome by Vespa,"Rome, Italy"
Guia En Roma,"Rome, Italy"
Associazione Culturale Roma Bella,"Rome, Italy"
Vatican Guided Tours,"Rome, Italy"
Joy of Rome Tours,"Rome, Italy"
Vatican Tour Company,"Rome, Italy"
Europe Odyssey Tours,"Rome, Italy"
Saints Tour,"Rome, Italy"
EsBike Tours & Experiences,"Rome, Italy"
Roma STARBIKE,"Rome, Italy"
Walks Inside Rome,"Rome, Italy"
VinoRoma Wine Studio & Social Club,"Rome, Italy"
Your Tour in Italy by Aldo Monti,"Rome, Italy"
Roma Experience Tours,"Rome, Italy"
A Friend In Rome Tours,"Rome, Italy"
Easitalytours,"Rome, Italy"
Context Travel,"Rome, Italy"
Luke Limousine - Private Rome Trips,"Rome, Italy"
Italy Rome Tour,"Rome, Italy"
Scooteroma Tours,"Rome, Italy"
Rome in Golf Cart,"Rome, Italy"
Segway Roma,"Rome, Italy"
From Scratch,"Rome, Italy"
Civitavecchia Shuttle Express - Transfer & Tour,"Rome, Italy"
All Around Italy,"Rome, Italy"
La Rome de Julie - Day Tour,"Rome, Italy"
Si Rome m'etait contee,"Rome, Italy"
Once in Rome - Authentic Experiences,"Rome, Italy"
Enjoy Italy Tours,"Rome, Italy"
Rome-Limousines,"Rome, Italy"
Roma Opera Omnia,"Rome, Italy"
Baja Bikes Rome - Tours,"Rome, Italy"
Tours By Locals,"Rome, Italy"
EcoBike,"Rome, Italy"
Whats In Italy Tours,"Rome, Italy"
Rudy's Touring Service - Driving & Walking Tours,"Rome, Italy"
Scooter Colosseum,"Rome, Italy"
The Red Bicycle,"Rome, Italy"
Aim Limo Rome Tours,"Rome, Italy"
TopTours,"Rome, Italy"
Eden Walks,"Rome, Italy"
Firebird Tours,"Rome, Italy"
Tiber Limo,"Rome, Italy"
Roma Esoterica,"Rome, Italy"
Bob's Limousines & Tours in Rome,"Rome, Italy"
Travel by Luxe,"Rome, Italy"
