Places,Place
Museum of New Zealand Te Papa Tongarewa,"Wellington, New Zealand"
ZEALANDIA Ecosanctuary,"Wellington, New Zealand"
Wellington Cable Car,"Wellington, New Zealand"
Wellington Botanic Garden,"Wellington, New Zealand"
Mount Victoria,"Wellington, New Zealand"
Old St Paul's,"Wellington, New Zealand"
New Zealand Parliament,"Wellington, New Zealand"
Wellington Museum,"Wellington, New Zealand"
Wellington Zoo,"Wellington, New Zealand"
Oriental Bay,"Wellington, New Zealand"
Interislander,"Wellington, New Zealand"
Cuba Street,"Wellington, New Zealand"
Government House,"Wellington, New Zealand"
Cape Palliser Lighthouse,"Wellington, New Zealand"
National War Memorial,"Wellington, New Zealand"
Space Place at Carter Observatory,"Wellington, New Zealand"
Otari-Wilton's Bush Native Botanic Garden,"Wellington, New Zealand"
Mount Kaukau,"Wellington, New Zealand"
Matiu / Somes Island,"Wellington, New Zealand"
Scorching Bay,"Wellington, New Zealand"
Pinnacles Track,"Wellington, New Zealand"
Te Whanganui-a-Tara Wellington isite Visitor Information Centre,"Wellington, New Zealand"
Red Rocks Reserve,"Wellington, New Zealand"
Bolton Street Cemetery,"Wellington, New Zealand"
Lady Norwood Rose Garden,"Wellington, New Zealand"
Wellington City Library,"Wellington, New Zealand"
Island Bay,"Wellington, New Zealand"
Cable Car Museum,"Wellington, New Zealand"
Katherine Mansfield House and Garden,"Wellington, New Zealand"
City to Sea Bridge,"Wellington, New Zealand"
East By West Ferries,"Wellington, New Zealand"
Days Bay,"Wellington, New Zealand"
Lyall Bay,"Wellington, New Zealand"
Harbourside Market Wellington,"Wellington, New Zealand"
Saint Mary of the Angels,"Wellington, New Zealand"
Westpac Stadium,"Wellington, New Zealand"
Pencarrow Coastal Trail,"Wellington, New Zealand"
Old Government Buildings,"Wellington, New Zealand"
Garage Project Cellar Door,"Wellington, New Zealand"
Circa Theatre,"Wellington, New Zealand"
Wright's Hill,"Wellington, New Zealand"
Makara Beach,"Wellington, New Zealand"
Frank Kitts Park,"Wellington, New Zealand"
Dominion Museum,"Wellington, New Zealand"
Wellington Wind Turbine,"Wellington, New Zealand"
Titahi Bay,"Wellington, New Zealand"
Wellington Railway Station,"Wellington, New Zealand"
Wellington Waterfront,"Wellington, New Zealand"
City Gallery Wellington Te Whare Toi,"Wellington, New Zealand"
Weta Workshop,"Wellington, New Zealand"
Makara Peak Mountain Bike Park,"Wellington, New Zealand"
Nairn Street Cottage,"Wellington, New Zealand"
Ataturk Memorial,"Wellington, New Zealand"
Wellington City Walkways,"Wellington, New Zealand"
St James Theatre,"Wellington, New Zealand"
Wellington Chocolate Factory,"Wellington, New Zealand"
Breaker Bay,"Wellington, New Zealand"
The Dowse Art Museum,"Wellington, New Zealand"
National Library,"Wellington, New Zealand"
New Zealand Academy of Fine Arts Academy Galleries,"Wellington, New Zealand"
Bluebridge Cook Strait Ferries,"Wellington, New Zealand"
Eastbourne Beach,"Wellington, New Zealand"
Petone Settlers Museum,"Wellington, New Zealand"
He Tohu,"Wellington, New Zealand"
Princess Bay,"Wellington, New Zealand"
Civic Square,"Wellington, New Zealand"
Tunnel Gully,"Wellington, New Zealand"
Old Bank Shopping Arcade,"Wellington, New Zealand"
Belmont Regional Park,"Wellington, New Zealand"
Massey Memorial,"Wellington, New Zealand"
Wellington Cathedral of St. Paul,"Wellington, New Zealand"
Rimutaka Rail Trail,"Wellington, New Zealand"
Percy's Reserve,"Wellington, New Zealand"
East Harbour Regional Park,"Wellington, New Zealand"
Petone Foreshore,"Wellington, New Zealand"
New Zealand Portrait Gallery,"Wellington, New Zealand"
The One Room Fan Museum,"Wellington, New Zealand"
Butterfly Creek,"Wellington, New Zealand"
Reserve Bank Museum,"Wellington, New Zealand"
Mount Victoria Lookout,"Wellington, New Zealand"
Plimmerton Beach,"Wellington, New Zealand"
Tinakori Hill,"Wellington, New Zealand"
TSB Arena,"Wellington, New Zealand"
Owhiro Bay,"Wellington, New Zealand"
Te Ahumairangi Hill Lookout,"Wellington, New Zealand"
Orongorongo Track,"Wellington, New Zealand"
Carlucci Land,"Wellington, New Zealand"
Capital E,"Wellington, New Zealand"
New Zealand Cricket Museum,"Wellington, New Zealand"
St Andrew's on the Terrace,"Wellington, New Zealand"
Paddy the Wanderer Monument,"Wellington, New Zealand"
Basin Reserve,"Wellington, New Zealand"
Boomrock,"Wellington, New Zealand"
The Bucket Fountain,"Wellington, New Zealand"
Wellington Buddhist Centre,"Wellington, New Zealand"
Taputeranga Marine Reserve,"Wellington, New Zealand"
Tarot Zamm - Tarot Reader,"Wellington, New Zealand"
Oriental Terrace Zig Zag,"Wellington, New Zealand"
Suzanne Aubert Heritage Centre,"Wellington, New Zealand"
Wellington Sky Show (July),"Wellington, New Zealand"
Bells Track Walk,"Wellington, New Zealand"
Truby King House & Garden,"Wellington, New Zealand"
Sexton's Cottage,"Wellington, New Zealand"
Brendan Beach,"Wellington, New Zealand"
Eastern Walkway,"Wellington, New Zealand"
Butcher Track,"Wellington, New Zealand"
Karori Cemetery Tour,"Wellington, New Zealand"
"Fragrifert Parfumeur, the Victorian Perfumery","Wellington, New Zealand"
Wellington Writers Walk,"Wellington, New Zealand"
Korokoro Valley,"Wellington, New Zealand"
Island Bay Marine Education Centre,"Wellington, New Zealand"
Wellington Convention Centre,"Wellington, New Zealand"
Golder Cottage,"Wellington, New Zealand"
Karori Pool,"Wellington, New Zealand"
Houghton Bay,"Wellington, New Zealand"
Deliverance Cove Track,"Wellington, New Zealand"
BNZ Museum,"Wellington, New Zealand"
Plimmer Steps,"Wellington, New Zealand"
Hill Street Farmers' Market,"Wellington, New Zealand"
St. John's in the City,"Wellington, New Zealand"
Sunshine Bay,"Wellington, New Zealand"
Woman of Words,"Wellington, New Zealand"
Rimutaka Cycle Trail,"Wellington, New Zealand"
Kau Bay,"Wellington, New Zealand"
Wairaka Walkway,"Wellington, New Zealand"
Sweet Axe Throwing Co.,"Wellington, New Zealand"
Tarakena Bay,"Wellington, New Zealand"
Churchill Park,"Wellington, New Zealand"
Hawthorn Lounge,"Wellington, New Zealand"
Maori Arts Gallery,"Wellington, New Zealand"
Antrim House,"Wellington, New Zealand"
The Phantom of the Opera,"Wellington, New Zealand"
Kupe Statue,"Wellington, New Zealand"
Worser Bay,"Wellington, New Zealand"
Fruits of the Garden Sculpture,"Wellington, New Zealand"
Metropolitan Cathedral of the Sacred Heart,"Wellington, New Zealand"
Kiwi Arthouse Gallery,"Wellington, New Zealand"
Shelly Bay Market,"Wellington, New Zealand"
Richard Byrd Memorial,"Wellington, New Zealand"
Corrections' Heritage Centre,"Wellington, New Zealand"
Odell Reserve,"Wellington, New Zealand"
Christ the Saviour Russian Orthodox Church,"Wellington, New Zealand"
Khandallah Park,"Wellington, New Zealand"
The Roxy Cinema,"Wellington, New Zealand"
Ta Aho a Maui Statue,"Wellington, New Zealand"
Outlet City,"Wellington, New Zealand"
Bodyhaven Spa Style Boutique,"Wellington, New Zealand"
Turnbull House,"Wellington, New Zealand"
Makara Walkway,"Wellington, New Zealand"
Ascot Street,"Wellington, New Zealand"
Amarin Thai Traditional Massage,"Wellington, New Zealand"
PlayGolf Wellington,"Wellington, New Zealand"
Bodyhaven Spa Willis Street,"Wellington, New Zealand"
Royal New Zealand Ballet,"Wellington, New Zealand"
Urbantics,"Wellington, New Zealand"
Respawn Esports Centre,"Wellington, New Zealand"
Wainuiomata Golf Club,"Wellington, New Zealand"
Pause Yoga,"Wellington, New Zealand"
Dakota Bar,"Wellington, New Zealand"
Kiwi Bounce,"Wellington, New Zealand"
Tory Urban Retreat,"Wellington, New Zealand"
Messianic Jewish Alliance Of New Zealand,"Wellington, New Zealand"
Wellington Jewish Community Centre,"Wellington, New Zealand"
Ohariu Valley Equestrian Centre,"Wellington, New Zealand"
KeySong Thai Spa Massage,"Wellington, New Zealand"
Golding's Free Dive,"Wellington, New Zealand"
C.G.R. Merchant & Co.,"Wellington, New Zealand"
Temple Sinai,"Wellington, New Zealand"
S&M Cocktail Bar,"Wellington, New Zealand"
Indoor Grand Prix,"Wellington, New Zealand"
WellyPutt Mini Golf,"Wellington, New Zealand"
VK's Comedy and Blues Bar,"Wellington, New Zealand"
Escape Masters,"Wellington, New Zealand"
Endota Wellington,"Wellington, New Zealand"
"Butlers Chocolate Café, Lambton Quay","Wellington, New Zealand"
Malthouse,"Wellington, New Zealand"
Rising Day Spa,"Wellington, New Zealand"
Switched on Bikes,"Wellington, New Zealand"
Intensive Health Therapy,"Wellington, New Zealand"
Bohemein Fresh Chocolates,"Wellington, New Zealand"
Jepun Bali Therapeutic Massage,"Wellington, New Zealand"
The Witching Hour Mini-Putt and Bar,"Wellington, New Zealand"
Freyberg Pool & Fitness Centre,"Wellington, New Zealand"
Berhampore Golf Club,"Wellington, New Zealand"
Amarin Thai Massage & Spa,"Wellington, New Zealand"
Hanging Ditch,"Wellington, New Zealand"
Zozo Travel Limited,"Wellington, New Zealand"
Arty Bees Books,"Wellington, New Zealand"
Wellington Ocean Sports,"Wellington, New Zealand"
Beginner Yogi Yoga Studio,"Wellington, New Zealand"
South Coast Shuttles,"Wellington, New Zealand"
Xplor Tours,"Wellington, New Zealand"
Drift Trikes New Zealand,"Wellington, New Zealand"
R Bar,"Wellington, New Zealand"
Hunt For The WellyPeople,"Wellington, New Zealand"
Walk Wellington,"Wellington, New Zealand"
Ivy Cabaret,"Wellington, New Zealand"
Wellington Indoor Riding School,"Wellington, New Zealand"
Being One Therapies,"Wellington, New Zealand"
Spacesuit,"Wellington, New Zealand"
On Yer Bike,"Wellington, New Zealand"
Capital Personalised Tours,"Wellington, New Zealand"
Matterhorn,"Wellington, New Zealand"
Ye Olde Pinball Shoppe,"Wellington, New Zealand"
Qubu Day Spa,"Wellington, New Zealand"
Body Shot Fitness,"Wellington, New Zealand"
Absolute Therapy,"Wellington, New Zealand"
The Vault Design Store,"Wellington, New Zealand"
Tuty's Balinese Massage and Beauty,"Wellington, New Zealand"
The Children's Bookshop,"Wellington, New Zealand"
Mainline Steam Plimmerton,"Wellington, New Zealand"
The Opera House,"Wellington, New Zealand"
Welsh Dragon Bar,"Wellington, New Zealand"
Souvenir Factory Shop,"Wellington, New Zealand"
uTours,"Wellington, New Zealand"
Empire Cinema & Eatery,"Wellington, New Zealand"
Minibar,"Wellington, New Zealand"
TAG Paintball,"Wellington, New Zealand"
Rover Rings,"Wellington, New Zealand"
The Enormous Crocodile Company,"Wellington, New Zealand"
The Fringe Bar,"Wellington, New Zealand"
The Rub,"Wellington, New Zealand"
Northern Explorer Train,"Wellington, New Zealand"
Kaewa Tours Ltd,"Wellington, New Zealand"
The Lanes Bar and Bowling,"Wellington, New Zealand"
Reading Cinemas Courtenay Central,"Wellington, New Zealand"
Mighty Mighty,"Wellington, New Zealand"
Hot Yoga Studio,"Wellington, New Zealand"
Bali Jasmine Day Spa,"Wellington, New Zealand"
Float Well,"Wellington, New Zealand"
Penthouse Cinema,"Wellington, New Zealand"
Scenic Saunas,"Wellington, New Zealand"
Kosher Tours,"Wellington, New Zealand"
