Text,Location
Anne Frank House,"Amsterdam, Netherlands"
Van Gogh Museum,"Amsterdam, Netherlands"
Rijksmuseum,"Amsterdam, Netherlands"
Vondelpark,"Amsterdam, Netherlands"
The Jordaan,"Amsterdam, Netherlands"
Heineken Experience,"Amsterdam, Netherlands"
Our Lord in the Attic Museum Ons' Lieve Heer op Solder,"Amsterdam, Netherlands"
Centraal Station,"Amsterdam, Netherlands"
Verzetsmuseum Amsterdam,"Amsterdam, Netherlands"
Red Light District,"Amsterdam, Netherlands"
Body Worlds,"Amsterdam, Netherlands"
ARTIS Amsterdam Royal Zoo,"Amsterdam, Netherlands"
Museum Het Rembrandthuis,"Amsterdam, Netherlands"
Concertgebouw,"Amsterdam, Netherlands"
A'dam Lookout,"Amsterdam, Netherlands"
Dam Square,"Amsterdam, Netherlands"
Moco Museum Amsterdam,"Amsterdam, Netherlands"
The Amsterdam Dungeon,"Amsterdam, Netherlands"
Het Scheepvaartmuseum| The National Maritime Museum,"Amsterdam, Netherlands"
Royal Palace Amsterdam,"Amsterdam, Netherlands"
Begijnhof,"Amsterdam, Netherlands"
Museum Quarter,"Amsterdam, Netherlands"
NEMO Science Museum,"Amsterdam, Netherlands"
Madame Tussauds Amsterdam,"Amsterdam, Netherlands"
Molen Van Sloten,"Amsterdam, Netherlands"
Micropia,"Amsterdam, Netherlands"
OBA Library of Amsterdam,"Amsterdam, Netherlands"
Rembrandts Amsterdam Experience,"Amsterdam, Netherlands"
Herengracht,"Amsterdam, Netherlands"
Portuguese Synagogue,"Amsterdam, Netherlands"
Dutch National Opera & Ballet,"Amsterdam, Netherlands"
Albert Cuyp Market,"Amsterdam, Netherlands"
Amsterdam Canal Ring,"Amsterdam, Netherlands"
De Duif,"Amsterdam, Netherlands"
Tour de BonTon,"Amsterdam, Netherlands"
The Amstel,"Amsterdam, Netherlands"
De 9 Straatjes,"Amsterdam, Netherlands"
Stedelijk Museum Amsterdam,"Amsterdam, Netherlands"
H'ART Museum,"Amsterdam, Netherlands"
Emperor's Canal (Keizersgracht),"Amsterdam, Netherlands"
Amsterdamse Bos,"Amsterdam, Netherlands"
Johan Cruyff Arena,"Amsterdam, Netherlands"
Hortus Botanicus,"Amsterdam, Netherlands"
Museum of the Canals,"Amsterdam, Netherlands"
Sexmuseum Amsterdam Venustempel,"Amsterdam, Netherlands"
Rembrandtplein,"Amsterdam, Netherlands"
