Text,Location
Reichstag Building,"Berlin, Germany"
Brandenburg Gate,"Berlin, Germany"
Topography of Terror,"Berlin, Germany"
The Holocaust Memorial - Memorial to the Murdered Jews of Europe,"Berlin, Germany"
Memorial of the Berlin Wall,"Berlin, Germany"
Pergamonmuseum,"Berlin, Germany"
East Side Gallery,"Berlin, Germany"
Friedrichstadt-Palast,"Berlin, Germany"
Museum Island,"Berlin, Germany"
Berliner Dom,"Berlin, Germany"
Tiergarten,"Berlin, Germany"
Zoo Berlin,"Berlin, Germany"
Neues Museum,"Berlin, Germany"
Berliner Fernsehturm,"Berlin, Germany"
Gendarmenmarkt,"Berlin, Germany"
Berlin-Hohenschonhausen Memorial,"Berlin, Germany"
Berliner Philharmonie,"Berlin, Germany"
Palace of Tears,"Berlin, Germany"
DDR Museum,"Berlin, Germany"
German Museum of Technology,"Berlin, Germany"
Gemaldegalerie,"Berlin, Germany"
Stasimuseum,"Berlin, Germany"
Kaiser Wilhelm Memorial Church,"Berlin, Germany"
Victory Column (Siegessäule),"Berlin, Germany"
Olympiastadion Berlin,"Berlin, Germany"
Jewish Museum Berlin,"Berlin, Germany"
Deutsches Historisches Museum,"Berlin, Germany"
Charlottenburg Palace,"Berlin, Germany"
Kaufhaus des Westens (KaDeWe),"Berlin, Germany"
German Spy Museum Berlin,"Berlin, Germany"
Potsdamer Platz,"Berlin, Germany"
Classic Remise Berlin,"Berlin, Germany"
Treptower Park,"Berlin, Germany"
Museum fuer Naturkunde Berlin,"Berlin, Germany"
Die Hackeschen Hoefe,"Berlin, Germany"
Berlin Story Bunker,"Berlin, Germany"
Berlin Central Station,"Berlin, Germany"
Alexanderplatz,"Berlin, Germany"
WINDOBONA Indoor Skydiving Berlin,"Berlin, Germany"
Mitte,"Berlin, Germany"
House of the Wannsee Conference,"Berlin, Germany"
Panoramapunkt,"Berlin, Germany"
Kurfürstendamm,"Berlin, Germany"
CHAMÄLEON Theater,"Berlin, Germany"
Mauerpark Flea Market,"Berlin, Germany"
Museumsdienst Berlin,"Berlin, Germany"
Tierpark Berlin,"Berlin, Germany"
Prenzlauer Berg,"Berlin, Germany"
Mall of Berlin,"Berlin, Germany"
Mauerpark,"Berlin, Germany"
Alte Nationalgalerie,"Berlin, Germany"
Botanischen Gartens und Botanischen Museums Berlin,"Berlin, Germany"
Urban Nation,"Berlin, Germany"
Kreuzberg,"Berlin, Germany"
Nicholas Quarter,"Berlin, Germany"
Berlin Dungeon,"Berlin, Germany"
"Gleis 17, Grunewald","Berlin, Germany"
Bode Museum,"Berlin, Germany"
Hackescher Markt,"Berlin, Germany"
Madame Tussauds Berlin,"Berlin, Germany"
art4berlin GALLERY,"Berlin, Germany"
Computerspielemuseum,"Berlin, Germany"
Unter den Linden,"Berlin, Germany"
Neue Wache,"Berlin, Germany"
Tempelhofer Park,"Berlin, Germany"
Gärten der Welt,"Berlin, Germany"
Wintergarten Variete,"Berlin, Germany"
Sony Center,"Berlin, Germany"
Museum Blindenwerkstatt Otto Weidt,"Berlin, Germany"
German Resistance Memorial Center,"Berlin, Germany"
Aquarium Berlin,"Berlin, Germany"
Museum in der Kulturbrauerei,"Berlin, Germany"
Mercedes-Benz Arena Berlin,"Berlin, Germany"
Soviet Memorial Tiergarten,"Berlin, Germany"
Monsterkabinett,"Berlin, Germany"
Wannsee,"Berlin, Germany"
Teufelsberg,"Berlin, Germany"
"KÖRPERWELTEN Museum ""Facetten des Lebens""","Berlin, Germany"
Haus Schwarzenberg,"Berlin, Germany"
Deutsche Oper Berlin,"Berlin, Germany"
Käthe Kollwitz Museum,"Berlin, Germany"
Military History Museum,"Berlin, Germany"
Museum Berggruen,"Berlin, Germany"
Friedrichstraße,"Berlin, Germany"
Designpanoptikum,"Berlin, Germany"
Sammlung Boros,"Berlin, Germany"
Deutsche Kinemathek - Museum fuer Film und Fernsehen,"Berlin, Germany"
Berlinische Galerie,"Berlin, Germany"
Spandau Citadel,"Berlin, Germany"
The Story of Berlin,"Berlin, Germany"
Turkish Market,"Berlin, Germany"
Theater des Westens,"Berlin, Germany"
WhatAGame,"Berlin, Germany"
Pergamonmuseum - Das Panorama,"Berlin, Germany"
Oberbaum Bridge,"Berlin, Germany"
Helmut Newton Foundation,"Berlin, Germany"
P61 Gallery,"Berlin, Germany"
Bebelplatz,"Berlin, Germany"
Britzer Garten,"Berlin, Germany"
Konzerthaus,"Berlin, Germany"
asisi Panorama Berlin,"Berlin, Germany"
Allied Museum (Alliierten Museum),"Berlin, Germany"
Pfaueninsel,"Berlin, Germany"
Gropius Bau,"Berlin, Germany"
THE ROOM - Live Escape Game Berlin,"Berlin, Germany"
Humboldthain Flak Tower,"Berlin, Germany"
Memorial to the Sinti and Roma Victims of National Socialism,"Berlin, Germany"
Neue Nationalgalerie,"Berlin, Germany"
Pariser Platz,"Berlin, Germany"
Little BIG City Berlin,"Berlin, Germany"
Strandbad Wannsee,"Berlin, Germany"
Sunday Market at Boxhagener Platz,"Berlin, Germany"
Humboldt University (Humboldt Universitat),"Berlin, Germany"
Showbühne Berlin,"Berlin, Germany"
Altes Museum,"Berlin, Germany"
Friedrichshain,"Berlin, Germany"
Galeries Lafayette Berlin,"Berlin, Germany"
KulturBrauerei,"Berlin, Germany"
German State Opera (Deutsche Staatsoper),"Berlin, Germany"
Hops & Barley,"Berlin, Germany"
Savignyplatz,"Berlin, Germany"
German-Russian Museum,"Berlin, Germany"
Museum Nikolai Church,"Berlin, Germany"
SEA LIFE Berlin,"Berlin, Germany"
Rotes Rathaus,"Berlin, Germany"
Sowjetisches Ehrenmal Treptow,"Berlin, Germany"
Komische Oper Berlin @Schillertheater,"Berlin, Germany"
Liebermann-Villa am Wannsee,"Berlin, Germany"
GDR Watch Tower,"Berlin, Germany"
Schöneberg,"Berlin, Germany"
Dark Matter Berlin,"Berlin, Germany"
Oranienburgerstrasse,"Berlin, Germany"
Tipi am Kanzleramt,"Berlin, Germany"
Volkspark Friedrichshain,"Berlin, Germany"
Berlin Museum of Medical History of the Charite,"Berlin, Germany"
Illuseum Berlin,"Berlin, Germany"
