Text,Location
Monument à Francis Garnier,"Paris, France"
5th arrondissement,"Paris, France"
Statue de Valentine de Milan,"Paris, France"
Jardin d'Erevan,"Paris, France"
Sainte-Jeanne-de-Chantal Church,"Paris, France"
Théâtre de l'Atelier,"Paris, France"
FrogPubs,"Paris, France"
Statue du Marechal Lyautey,"Paris, France"
Fontaine de Georges Jeanclos,"Paris, France"
Fontaine de la Vierge,"Paris, France"
Theatre Rive Gauche,"Paris, France"
Jardin de l'hôtel Salomon de Rothschild,"Paris, France"
Agoudas Hakehilos Synagogue,"Paris, France"
Square Montholon,"Paris, France"
Square Claude Debussy,"Paris, France"
Fresque « Paris dans la tete »,"Paris, France"
Pavillon de l'Ermitage,"Paris, France"
Statue Rhinoceros attaque par un Tigre,"Paris, France"
La Statue de Clemence Isaure,"Paris, France"
Mémorial National de la Guerre d'Algérie et des Combats du Maroc et de la Tunisie,"Paris, France"
L'Embâcle,"Paris, France"
Chapelle de la Sorbonne,"Paris, France"
Sculptures Taureau et Daim,"Paris, France"
Square de l'Opéra Louis-Jouvet,"Paris, France"
Yvon Lambert Bookshop,"Paris, France"
Theatre Mélo d'Amélie,"Paris, France"
Gagosian Gallery,"Paris, France"
Galerie Montmartre,"Paris, France"
Société Générale,"Paris, France"
Aux Negociants,"Paris, France"
Les Etoiles,"Paris, France"
Auteuil,"Paris, France"
La statue de Léon Serpollet,"Paris, France"
Eglise Saint Joseph Artisan,"Paris, France"
Le 13ème Art,"Paris, France"
Immeuble Art-Nouveau,"Paris, France"
Rue Saint-Martin,"Paris, France"
Bibliothèque-musée de l'Opéra,"Paris, France"
Fontaine Wallace Murale,"Paris, France"
Statue Retour de Chasse,"Paris, France"
Statue Le faune dansant,"Paris, France"
Cafe de la Danse,"Paris, France"
Jardins des Archives Nationales,"Paris, France"
Monument a Guy de Maupassant,"Paris, France"
Monument à Aristide Briand,"Paris, France"
Faubourg Saint-Germain,"Paris, France"
Eglise Saint Germain de Charonne,"Paris, France"
Théâtre Le Passage vers les Etoiles,"Paris, France"
Chateau d'Eau de Montmartre,"Paris, France"
Fresque Chuuuttt !!!,"Paris, France"
Marche Auguste Blanqui,"Paris, France"
Monument à la France La Belgique reconnaissante.,"Paris, France"
Statue L'Industrie,"Paris, France"
Les Fils de Caïn,"Paris, France"
Maison Eymonaud,"Paris, France"
La Statue de Charles Leconte de Lisle,"Paris, France"
Square Sarah Bernhardt,"Paris, France"
Cavalier Gaulois,"Paris, France"
Théâtre Libre,"Paris, France"
Monument du Corps Expeditionnaire Russe,"Paris, France"
Eglise Notre Dame du Perpetuel Secours,"Paris, France"
Le Défenseur du Temps,"Paris, France"
Statue de Foch,"Paris, France"
Buste de Gustave Eiffel,"Paris, France"
Square Marcel Pagnol,"Paris, France"
Fresque Accident à la Gare Montparnasse,"Paris, France"
Médiathèque Françoise Sagan,"Paris, France"
Festival Rock en Seine,"Paris, France"
Fontaine des Ambassadeurs,"Paris, France"
Statue de la Liberte,"Paris, France"
Theatre de L'Archipel,"Paris, France"
Theatre Guichet Montparnasse,"Paris, France"
Marché de la Nation,"Paris, France"
Square Charles Péguy,"Paris, France"
Eglise Saint Dominique,"Paris, France"
Statue Equestre de Jeanne d'Arc,"Paris, France"
Piscine Georges Vallerey,"Paris, France"
Eglise Saint Jacques Saint Christophe de la Villette,"Paris, France"
Square Claude Charpentier,"Paris, France"
"La statue ""Annibal""","Paris, France"
Jardins d'Éole,"Paris, France"
Statue L'Abondance,"Paris, France"
Fontaine des Quatre Saisons,"Paris, France"
Immeuble 3 Square Rapp,"Paris, France"
Hôtel de Matignon,"Paris, France"
