Text,Location
Vasa Museum,"Stockholm, Sweden"
Stockholm Old Town,"Stockholm, Sweden"
Kungliga Djurgården,"Stockholm, Sweden"
Stockholm City Hall,"Stockholm, Sweden"
Skansen,"Stockholm, Sweden"
ABBA The Museum,"Stockholm, Sweden"
Royal Palace,"Stockholm, Sweden"
Östermalm Saluhall,"Stockholm, Sweden"
Fotografiska Stockholm,"Stockholm, Sweden"
Monteliusvagen,"Stockholm, Sweden"
Historiska Museet,"Stockholm, Sweden"
Sodermalm,"Stockholm, Sweden"
Stortorget,"Stockholm, Sweden"
Avicii Experience,"Stockholm, Sweden"
Stockholm Canals,"Stockholm, Sweden"
Hallwyl Museum,"Stockholm, Sweden"
Medeltidsmuseet,"Stockholm, Sweden"
Moderna Museet - Stockholm,"Stockholm, Sweden"
Royal Armory,"Stockholm, Sweden"
Army Museum,"Stockholm, Sweden"
Storkyrkan,"Stockholm, Sweden"
Prins Eugens Waldemarsudde,"Stockholm, Sweden"
Skogskyrkogården,"Stockholm, Sweden"
Nationalmuseum,"Stockholm, Sweden"
The Royal Swedish Opera,"Stockholm, Sweden"
Nobel Prize Museum,"Stockholm, Sweden"
Rosendals Garden,"Stockholm, Sweden"
Junibacken,"Stockholm, Sweden"
Bergius Botanic Garden,"Stockholm, Sweden"
Swedish Museum of Natural History,"Stockholm, Sweden"
Magasin III Museum for Contemporary Art,"Stockholm, Sweden"
Fox in a Box Stockholm,"Stockholm, Sweden"
Statue of St. George,"Stockholm, Sweden"
Tele2 Arena,"Stockholm, Sweden"
Postmuseum,"Stockholm, Sweden"
Strindberg Museum,"Stockholm, Sweden"
Royal Treasury (Skattkammaren),"Stockholm, Sweden"
Sofia Kyrka,"Stockholm, Sweden"
Hedvig Eleonora Kyrka,"Stockholm, Sweden"
Fjarilshuset (Butterfly House),"Stockholm, Sweden"
Hillsong Church Stockholm,"Stockholm, Sweden"
Judiska museet,"Stockholm, Sweden"
Museum of Ethnography,"Stockholm, Sweden"
Folkoperan,"Stockholm, Sweden"
Blå Porten,"Stockholm, Sweden"
Drottningholms Slottsteater,"Stockholm, Sweden"
Dansmuseet - Rolf de Mare's Museum of Movement,"Stockholm, Sweden"
Nalen,"Stockholm, Sweden"
Katarina Kyrka,"Stockholm, Sweden"
Carl Eldhs Ateljémuseum,"Stockholm, Sweden"
Seglora Kyrka,"Stockholm, Sweden"
Simmeparken,"Stockholm, Sweden"
Gallerian,"Stockholm, Sweden"
Engelbrektskyrkan,"Stockholm, Sweden"
Fargfabriken,"Stockholm, Sweden"
Bryggartappan,"Stockholm, Sweden"
Adolf Fredriks Församling,"Stockholm, Sweden"
Mood Stockholm,"Stockholm, Sweden"
S:t Jacobs Kyrka,"Stockholm, Sweden"
Catholic Cathedral (Katolska Domkyrkan),"Stockholm, Sweden"
Gustav Vasa Kyrka,"Stockholm, Sweden"
Hornsbergs Strand,"Stockholm, Sweden"
Evert Taube Statue,"Stockholm, Sweden"
Tallink Silja Line,"Stockholm, Sweden"
Gota Lejon,"Stockholm, Sweden"
Apans Andra Hand (Second Hand),"Stockholm, Sweden"
Humlegården,"Stockholm, Sweden"
Polismuseet,"Stockholm, Sweden"
Cornelisparken,"Stockholm, Sweden"
Sven-Harrys Gallery,"Stockholm, Sweden"
Swedish Centre for Architecture and Design,"Stockholm, Sweden"
Slottskyrkan,"Stockholm, Sweden"
Gustav II Adolfs Statue,"Stockholm, Sweden"
Agesta naturistbad,"Stockholm, Sweden"
Klattercentret Telefonplan,"Stockholm, Sweden"
Mariaberget,"Stockholm, Sweden"
Van der Nootska palatset,"Stockholm, Sweden"
Medusa Antik,"Stockholm, Sweden"
Smedsuddsbadet,"Stockholm, Sweden"
Almgren silk factory & museum,"Stockholm, Sweden"
ICEBAR Stockholm,"Stockholm, Sweden"
Museum Tre Kronor,"Stockholm, Sweden"
Stockholm International Fairs & Congress Center,"Stockholm, Sweden"
Stockholm Entdecken,"Stockholm, Sweden"
Finnish Church (Finska kyrkan),"Stockholm, Sweden"
Paradox Museum Stockholm,"Stockholm, Sweden"
Regina Theater,"Stockholm, Sweden"
Mariatorget,"Stockholm, Sweden"
Stockholm Central Station,"Stockholm, Sweden"
Olof Palme Memorial Plaque,"Stockholm, Sweden"
Riddersholms Naturreservat,"Stockholm, Sweden"
Vasaparken,"Stockholm, Sweden"
Tegnérlunden,"Stockholm, Sweden"
Monument to King Gustav III,"Stockholm, Sweden"
Eriksdalsbadet,"Stockholm, Sweden"
Jordbrogravfält,"Stockholm, Sweden"
Brunkeberg Tunnel,"Stockholm, Sweden"
Stockholm Info,"Stockholm, Sweden"
Kungsholmens Kyrka,"Stockholm, Sweden"
Bonniers Konsthall,"Stockholm, Sweden"
Raoul Wallenberg torg,"Stockholm, Sweden"
Vasaparkens Parklek,"Stockholm, Sweden"
Rålambshovparken,"Stockholm, Sweden"
Karl XII staty Kungstradgarden,"Stockholm, Sweden"
Observatory Museum,"Stockholm, Sweden"
The Western Bridge,"Stockholm, Sweden"
Berzelii Park,"Stockholm, Sweden"
Kungl. Myntkabinettet,"Stockholm, Sweden"
Mosebacke Torg,"Stockholm, Sweden"
Moja,"Stockholm, Sweden"
Playhouse Teater,"Stockholm, Sweden"
Twisted Keys Escape Room Stockholm,"Stockholm, Sweden"
Karlaplan,"Stockholm, Sweden"
Skistar Hammarbybacken,"Stockholm, Sweden"
Högalidskyrkan,"Stockholm, Sweden"
Konserthuset Stockholm,"Stockholm, Sweden"
Djurgårdsbron,"Stockholm, Sweden"
Galarvarvet,"Stockholm, Sweden"
Stockholm Waterfront Congres Centre,"Stockholm, Sweden"
Nybroviken,"Stockholm, Sweden"
Stockholms Stadshuset,"Stockholm, Sweden"
Kungsgatan,"Stockholm, Sweden"
Ekeröleden,"Stockholm, Sweden"
Upplevelsemuseet,"Stockholm, Sweden"
Statue Of Birger Jarl,"Stockholm, Sweden"
Kungshallen,"Stockholm, Sweden"
Vesslan skulptur,"Stockholm, Sweden"
Västerlånggatan,"Stockholm, Sweden"
The Sweden Game Show,"Stockholm, Sweden"
Norrbro,"Stockholm, Sweden"
Brantingtorget,"Stockholm, Sweden"
Stockholm Slussen Kajen,"Stockholm, Sweden"
Sjomansinstitutets hus,"Stockholm, Sweden"
Hellasgården,"Stockholm, Sweden"
Sergelfontänen,"Stockholm, Sweden"
Samruai Thai Massage,"Stockholm, Sweden"
Charles XIV Johns Statue,"Stockholm, Sweden"
Quezzle Escape Room,"Stockholm, Sweden"
The Branting Monument,"Stockholm, Sweden"
Tors Fiske,"Stockholm, Sweden"
Per Lo Più Soleggiato Strömbron,"Stockholm, Sweden"
Aungun Spa Therapy,"Stockholm, Sweden"
Solsångaren,"Stockholm, Sweden"
Choco Chocolate,"Stockholm, Sweden"
Riksgatan,"Stockholm, Sweden"
Drottninggatan,"Stockholm, Sweden"
Green City Ferries,"Stockholm, Sweden"
Caramella,"Stockholm, Sweden"
Valhallabageriet AB,"Stockholm, Sweden"
Fasching Jazz Club,"Stockholm, Sweden"
